claim_id,policy_id,customer_id,claim_type,claim_amount,claim_status,claim_date,settlement_date
CLM001,POL001,CUST001,Collision,3200.50,Approved,2024-02-10,2024-02-20
CLM002,POL002,CUST002,Water Damage,8750.00,Paid,2024-03-05,2024-03-25
CLM003,POL003,CUST003,Theft,5400.00,Open,2024-03-12,
CLM004,POL004,CUST004,Medical,12000.00,Rejected,2024-04-01,
CLM005,POL005,CUST005,Property Damage,24500.75,Approved,2024-04-15,2024-05-01
CLM006,POL006,CUST006,Fire,18000.00,Paid,2024-05-04,2024-05-28
CLM007,POL007,CUST007,Collision,2900.25,approved,2024-05-18,2024-06-02
CLM008,POL008,CUST008,Storm,7600.00,Pending,2024-06-07,
CLM009,POL009,CUST009,Liability,45000.00,Open,2024-06-15,
CLM010,POL010,CUST010,Collision,-500.00,Approved,2024-06-20,2024-06-28
CLM011,POL011,CUST011,Water Damage,,Paid,2024-07-03,2024-07-18
CLM012,POL012,CUST012,Theft,4100.00,Closed,2024-07-10,2024-07-29
CLM013,POL001,CUST001,Glass,800.00,Paid,2024-08-01,2024-08-08
CLM014,POL002,CUST002,Roof Damage,9800.00,Open,2024-08-14,
CLM015,POL003,CUST003,Collision,6200.00,Approved,2024-09-03,2024-09-17
CLM015,POL003,CUST003,Collision,6200.00,Approved,2024-09-03,2024-09-17
CLM016,POL005,CUST005,Equipment Damage,15500.00,Paid,2024-09-19,2024-10-05
CLM017,POL009,CUST009,Liability,38000.00,Pending,2024-10-02,
CLM018,POL006,CUST006,Storm,6900.00,Rejected,2024-10-12,
CLM019,POL008,CUST008,Fire,22300.00,Approved,2024-11-01,2024-11-20
CLM020,POL012,CUST012,Collision,3500.00,Open,2027-01-01,
