payment_id,claim_id,payment_amount,payment_date,payment_method
PAY001,CLM001,3200.50,2024-02-20,ACH
PAY002,CLM002,8750.00,2024-03-25,Check
PAY003,CLM005,24500.75,2024-05-01,ACH
PAY004,CLM006,18000.00,2024-05-28,Wire
PAY005,CLM007,2900.25,2024-06-02,ACH
PAY006,CLM010,500.00,2024-06-28,ACH
PAY007,CLM011,0.00,2024-07-18,Check
PAY008,CLM012,4100.00,2024-07-29,ACH
PAY009,CLM013,800.00,2024-08-08,ACH
PAY010,CLM015,6200.00,2024-09-17,Wire
PAY011,CLM016,15500.00,2024-10-05,ACH
PAY012,CLM019,22300.00,2024-11-20,Wire
