policy_id,customer_id,policy_type,policy_start_date,policy_end_date,premium_amount
POL001,CUST001,Auto,2024-01-01,2024-12-31,1200.00
POL002,CUST002,Home,2024-02-01,2025-01-31,1800.00
POL003,CUST003,Auto,2024-01-15,2025-01-14,1350.00
POL004,CUST004,Life,2024-03-01,2025-02-28,900.00
POL005,CUST005,Commercial,2024-01-01,2024-12-31,5200.00
POL006,CUST006,Home,2024-04-01,2025-03-31,2100.00
POL007,CUST007,Auto,2024-05-01,2025-04-30,1100.00
POL008,CUST008,Home,2024-01-01,2024-12-31,1750.00
POL009,CUST009,Commercial,2024-06-01,2025-05-31,6100.00
POL010,CUST010,Auto,2024-02-15,2025-02-14,1250.00
POL011,CUST011,Home,2024-03-15,2025-03-14,1650.00
POL012,CUST012,Auto,2024-01-20,2025-01-19,1300.00
